,Angle,Speed,Start Time,Stop Time,Time
861,97,102,1568241439.411518,,1568241310.748405
862,99,102,1568241439.411518,,1568241310.754746
863,101,102,1568241439.411518,,1568241310.761759
864,102,102,1568241439.411518,,1568241310.766901
865,104,102,1568241439.411518,,1568241310.851963
866,106,102,1568241439.411518,,1568241310.867038
867,110,102,1568241439.411518,,1568241310.871184
868,108,102,1568241439.411518,,1568241310.876619
869,112,102,1568241439.411518,,1568241310.990756
870,113,102,1568241439.411518,,1568241311.004703
871,114,102,1568241439.411518,,1568241311.008498
872,116,102,1568241439.411518,,1568241311.012202
873,115,102,1568241439.411518,,1568241311.020272
874,117,102,1568241439.411518,,1568241311.026344
875,116,102,1568241439.411518,,1568241311.03599
876,114,102,1568241439.411518,,1568241311.565328
877,115,102,1568241439.411518,,1568241311.569525
878,113,102,1568241439.411518,,1568241311.57327
879,112,102,1568241439.411518,,1568241311.579435
880,113,102,1568241439.411518,,1568241311.587189
881,114,102,1568241439.411518,,1568241311.594991
882,113,102,1568241439.411518,,1568241312.384416
883,113,104,1568241439.411518,,1568241312.953705
884,113,106,1568241439.411518,,1568241313.818045
885,115,106,1568241439.411518,,1568241313.826135
886,113,106,1568241439.411518,,1568241313.859191
887,110,106,1568241439.411518,,1568241313.997024
888,102,106,1568241439.411518,,1568241314.004793
889,101,106,1568241439.411518,,1568241314.012525
890,106,106,1568241439.411518,,1568241314.023343
891,100,106,1568241439.411518,,1568241314.0407
892,99,106,1568241439.411518,,1568241314.329294
893,98,106,1568241439.411518,,1568241314.333348
894,97,106,1568241439.411518,,1568241314.339575
895,96,106,1568241439.411518,,1568241314.346745
896,95,106,1568241439.411518,,1568241314.352277
897,94,106,1568241439.411518,,1568241314.527047
898,93,106,1568241439.411518,,1568241314.5335
899,92,106,1568241439.411518,,1568241314.539902
900,91,106,1568241439.411518,,1568241314.546683
901,90,106,1568241439.411518,,1568241314.551398
902,89,106,1568241439.411518,,1568241314.601262
903,88,106,1568241439.411518,,1568241314.609238
904,86,106,1568241439.411518,,1568241314.618742
905,87,106,1568241439.411518,,1568241314.623023
906,85,106,1568241439.411518,,1568241314.631727
907,84,106,1568241439.411518,,1568241314.854666
908,83,106,1568241439.411518,,1568241314.921751
909,82,106,1568241439.411518,,1568241314.93304
910,81,106,1568241439.411518,,1568241314.957018
911,80,106,1568241439.411518,,1568241314.990026
912,79,106,1568241439.411518,,1568241315.002327
913,78,106,1568241439.411518,,1568241315.041329
914,79,106,1568241439.411518,,1568241315.113091
915,80,106,1568241439.411518,,1568241315.230262
916,81,106,1568241439.411518,,1568241315.365073
917,82,106,1568241439.411518,,1568241315.370452
918,83,106,1568241439.411518,,1568241315.375808
919,84,106,1568241439.411518,,1568241315.411504
920,85,106,1568241439.411518,,1568241315.418458
921,86,106,1568241439.411518,,1568241315.437564
922,87,106,1568241439.411518,,1568241315.472424
923,88,106,1568241439.411518,,1568241315.538231
924,89,106,1568241439.411518,,1568241315.542195
925,90,106,1568241439.411518,,1568241315.548916
926,91,106,1568241439.411518,,1568241315.55303
927,92,106,1568241439.411518,,1568241315.616826
928,93,106,1568241439.411518,,1568241315.716453
929,94,106,1568241439.411518,,1568241315.738349
930,95,106,1568241439.411518,,1568241315.760617
