,Time,Speed,Angle,Start Time,Stop Time
63,1571792866.718912,90,106,0,
64,1571792866.734355,90,107,0,
65,1571792866.7683387,90,108,0,
66,1571792866.787932,90,109,0,
67,1571792866.8523202,90,110,0,
68,1571792866.867918,90,111,0,
69,1571792866.8838968,90,112,0,
70,1571792866.9000359,90,113,0,
71,1571792866.9182878,90,114,0,
72,1571792866.950877,90,115,0,
73,1571792866.9863336,90,116,0,
74,1571792867.0228639,90,117,0,
75,1571792867.035963,90,118,0,
76,1571792867.0529604,90,119,0,
77,1571792867.073258,90,120,0,
78,1571792867.5359957,90,119,0,
79,1571792867.554313,90,117,0,
80,1571792867.572447,90,116,0,
81,1571792867.5873373,90,114,0,
82,1571792867.605746,90,112,0,
83,1571792867.6200795,90,111,0,
84,1571792867.651013,90,110,0,
85,1571792867.66786,90,109,0,
86,1571792867.6854074,90,107,0,
87,1571792867.717331,90,106,0,
88,1571792867.7372665,90,105,0,
89,1571792867.7689464,90,104,0,
90,1571792867.7854366,90,102,0,
91,1571792867.801846,90,100,0,
92,1571792867.8178809,90,98,0,
93,1571792867.8447094,90,97,0,
94,1571792867.850728,90,96,0,
95,1571792867.868899,90,95,0,
96,1571792933.7601302,90,94,0,
97,1571792933.775397,90,93,0,
98,1571792933.7917073,90,92,0,
99,1571792933.8256912,90,91,0,
100,1571792933.8785305,90,90,0,
101,1571792933.9098227,90,89,0,
102,1571792933.926465,90,88,0,
103,1571792933.9631338,90,87,0,
104,1571792934.0210192,90,86,0,
105,1571792934.0325882,90,84,0,
106,1571792934.0411327,90,83,0,
107,1571792934.0517585,90,82,0,
108,1571792934.0677476,90,81,0,
109,1571792934.098707,90,80,0,
110,1571792934.1182384,90,79,0,
111,1571792934.129718,90,78,0,
112,1571792934.1784778,90,77,0,
113,1571792934.2220414,90,76,0,
114,1571792934.2331848,90,74,0,
115,1571792934.246377,90,73,0,
116,1571792934.3610203,90,72,0,
117,1571792934.3954139,90,71,0,
118,1571792934.4426486,90,70,0,
119,1571792934.575068,90,69,0,
120,1571792934.8348322,90,70,0,
121,1571792934.8594732,90,71,0,
122,1571792934.8754456,90,72,0,
123,1571792934.8934321,90,73,0,
124,1571792934.915415,90,75,0,
125,1571792934.9339902,90,76,0,
126,1571792934.942726,90,77,0,
127,1571792934.9594867,90,78,0,
128,1571792934.9755452,90,80,0,
129,1571792934.9924455,90,83,0,
130,1571792935.0375166,90,85,0,
131,1571792935.0433538,90,86,0,
132,1571792935.0476644,90,87,0,
133,1571792935.0587134,90,88,0,
134,1571792935.0752814,90,90,0,
135,1571792935.0919437,90,93,0,
136,1571792935.1115496,90,94,0,
137,1571792935.1369941,90,95,0,
138,1571792935.1485662,90,96,0,
139,1571792935.1629755,90,97,0,
140,1571792935.1798122,90,100,0,
141,1571792935.1963665,90,101,0,
142,1571792935.2142146,90,102,0,
143,1571792935.2512355,90,103,0,
144,1571792935.2626696,90,104,0,
145,1571792935.2736354,90,105,0,
146,1571792935.2856672,90,107,0,
147,1571792935.299821,90,109,0,
148,1571792935.313608,90,110,0,
149,1571792935.3452547,90,111,0,
150,1571792935.377817,90,112,0,
151,1571792935.3950727,90,113,0,
152,1571792935.4123466,90,114,0,
153,1571792935.4319286,90,115,0,
154,1571792935.4536715,90,116,0,
155,1571792935.4653447,90,117,0,
156,1571792935.478945,90,118,0,
157,1571792935.5117025,90,119,0,
158,1571792935.5291867,90,120,0,
159,1571792935.5467904,90,121,0,
160,1571792935.5613656,90,122,0,
161,1571792935.5786057,90,123,0,
162,1571792935.5946698,90,124,0,
163,1571792935.6327856,90,125,0,
164,1571792935.656959,90,127,0,
165,1571792935.6683395,90,128,0,
166,1571792935.9106205,90,127,0,
167,1571792935.9492538,90,126,0,
168,1571792935.995405,90,125,0,
169,1571792936.011453,90,124,0,
170,1571792936.0271637,90,123,0,
171,1571792936.0673575,90,122,0,
172,1571792936.110699,90,121,0,
173,1571792936.128345,90,120,0,
174,1571792936.1458516,90,119,0,
175,1571792936.1620133,90,118,0,
176,1571792936.2106524,90,117,0,
177,1571792936.267677,90,116,0,
178,1571792936.278723,90,115,0,
179,1571792936.3717337,90,114,0,
180,1571792936.3828146,90,113,0,
181,1571792936.3952594,90,112,0,
182,1571792936.493644,90,111,0,
183,1571792936.847648,90,110,0,
184,1571792936.8803484,90,109,0,
185,1571792936.8988354,90,108,0,
186,1571792936.9108765,90,107,0,
187,1571792936.9278748,90,106,0,
188,1571792936.9674852,90,105,0,
189,1571792936.9933531,90,104,0,
190,1571792937.0084891,90,103,0,
191,1571792937.0209296,90,102,0,
192,1571792937.045307,90,100,0,
193,1571792937.0899718,90,99,0,
194,1571792937.1012793,90,98,0,
195,1571792937.1142302,90,96,0,
196,1571792937.129624,90,95,0,
197,1571792937.1450493,90,94,0,
198,1571792937.1687222,90,92,0,
199,1571792937.1886241,90,91,0,
200,1571792937.2002437,90,90,0,
201,1571792937.2128322,90,89,0,
202,1571792937.227417,90,88,0,
203,1571792937.2441783,90,87,0,
204,1571792937.2892787,90,86,0,
205,1571792937.4434037,90,85,0,
206,1571792937.5113344,90,84,0,
207,1571792939.2779744,92,84,0,
208,1571792939.8079178,94,84,0,
209,1571792940.1715548,96,84,0,
210,1571792940.7799237,98,84,0,
